round,participation_fee,initial_bonds,buy_option,sell_option,g,k,m,y,q,height
1,445.5,1,True,True,30,.1,55,2,22,3
2,0,1,True,True,30,.1,60,68,23,3
3,0,1,True,True,30,.1,52,33,23,3
4,0,1,True,True,30,.1,6,84,53,3
5,265.5,1,True,True,70,.1,5,11,96,3
6,0,1,True,True,70,.1,70,86,73,3
7,0,1,True,True,70,.1,91,76,56,3
8,0,1,True,True,70,.1,45,43,70,3
9,379.8,1,True,True,70,2.5,8,98,36,15
10,0,1,True,True,70,2.5,53,16,98,15
11,0,1,True,True,70,2.5,52,12,7,15
12,0,1,True,True,70,2.5,45,22,27,15
13,214.2,1,True,True,70,2.5,53,83,80,15
14,0,1,True,True,70,2.5,73,18,56,15
15,0,1,True,True,70,2.5,42,10,67,15
16,0,1,True,True,70,2.5,31,10,27,15
17,318.6,1,True,True,70,.1,60,73,83,3
18,0,1,True,True,70,.1,89,48,65,3
19,0,1,True,True,70,.1,57,79,1,3
20,0,1,True,True,70,.1,15,65,23,3
21,603.9,1,True,True,30,2.5,78,7,41,15
22,0,1,True,True,30,2.5,37,64,0,15
23,0,1,True,True,30,2.5,87,37,34,15
24,0,1,True,True,30,2.5,23,66,10,15
25,459.9,1,True,True,30,2.5,27,52,36,15
26,0,1,True,True,30,2.5,96,17,55,15
27,0,1,True,True,30,2.5,97,39,2,15
28,0,1,True,True,30,2.5,84,78,94,15
29,144.9,1,True,True,70,2.5,3,48,21,15
30,0,1,True,True,70,2.5,16,17,44,15
31,0,1,True,True,70,2.5,65,11,28,15
32,0,1,True,True,70,2.5,39,59,86,15
33,344.7,1,True,True,70,.1,75,70,13,3
34,0,1,True,True,70,.1,76,63,92,3
35,0,1,True,True,70,.1,77,21,60,3
36,0,1,True,True,70,.1,8,77,94,3
37,229.5,1,True,True,30,.1,21,78,29,3
38,0,1,True,True,30,.1,15,30,7,3
39,0,1,True,True,30,.1,25,11,49,3
40,0,1,True,True,30,.1,10,79,60,3
