e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
0.88,0.18,0.24,0.66,0.04,0.78,0.47,0.43,0.69,0.39,0.71,0.49,0.18,0.64,0.51,0.3,0.81,0.77,0.36,0.78
0.69,0.21,0.25,0.9,0.89,0.87,0.17,0.44,0.41,0.68,0.26,0.77,0,0.23,0.51,0.2,0.25,0.37,0.51,0.56
0.85,0.31,0.76,0.88,0.95,0.73,0.88,0.53,0.34,0.75,0.92,0.4,0.16,0.28,0.32,0.32,0.08,0.45,0.07,0.67
0.57,0.21,0.89,0.3,0.32,0.99,0.01,0.43,0.9,0.73,0.94,0.99,0.3,0.56,0.01,0.29,0.88,0.43,0.75,0.96
0.76,0.53,0.24,0.52,0,0.77,0.12,0.21,0.65,0.4,0.09,0.01,0.44,0,0.94,0.19,0.15,0.76,0.84,0.55
0.2,0.97,0.83,0.28,0.95,0.62,0.67,0.69,0.21,0.18,0.58,0.83,0.15,0.7,0.52,0.63,0.33,0.89,0.45,0.25
0.81,0.99,0.29,0.29,0.79,0.64,0.47,0.16,0.3,0.93,0.57,0.88,0.16,0.17,0.34,0.81,0.79,0.65,0.34,0.53
0.61,0.83,0.28,0.86,0.53,0.75,0.42,0.91,0.13,0.02,0.3,0.4,0.27,0.68,0.05,0.34,0.36,0.78,0.57,0.34
0.01,0.28,0.6,0.76,0.57,0.35,0.36,0.48,0.26,0.81,0.45,0.73,0.68,0.45,0.33,0.57,0.93,0.98,0.8,0.68
0.79,0.3,0.05,0.61,0.88,0.29,0.34,0.91,0.95,0.9,0.49,0.14,0.62,0.49,0.58,0.5,0.47,0.52,0.56,0.39
0.36,0.5,0.95,0.2,0.87,0.24,0.59,0.36,0.05,0.31,0.1,0.53,0.72,0.68,0.24,0,0.82,0.76,0.55,0.51
0.2,0.48,0.26,0.22,0.67,0.53,0.88,0.28,0.41,0.96,0.79,0.8,0.47,0.65,0.87,0.68,0.7,0.51,0.47,0.69
0.09,0.76,0.03,0.98,0.06,0.03,0.13,0.45,0.03,0.32,0.29,0.74,0.3,0.91,0.6,0.97,0.27,0.35,0.97,0.65
